observation_date,PCU2122321223
1/1/2005,162.3
2/1/2005,168
3/1/2005,173.3
4/1/2005,161.6
5/1/2005,168.4
6/1/2005,193.9
7/1/2005,194.6
8/1/2005,205.1
9/1/2005,216.2
10/1/2005,223.5
11/1/2005,234.4
12/1/2005,240.7
1/1/2006,244.8
2/1/2006,250.7
3/1/2006,268.1
4/1/2006,325.4
5/1/2006,409.5
6/1/2006,381.4
7/1/2006,420.1
8/1/2006,387.7
9/1/2006,404.4
10/1/2006,384.7
11/1/2006,356.7
12/1/2006,368.6
1/1/2007,317.4
2/1/2007,314.9
3/1/2007,337.1
4/1/2007,392.9
5/1/2007,411.8
6/1/2007,404.4
7/1/2007,438.4
8/1/2007,409.4
9/1/2007,430.3
10/1/2007,432.2
11/1/2007,384.4
12/1/2007,365.1
1/1/2008,378
2/1/2008,427.9
3/1/2008,460
4/1/2008,472.2
5/1/2008,454
6/1/2008,450
7/1/2008,464
8/1/2008,434.9
9/1/2008,408.8
10/1/2008,312.8
11/1/2008,222.5
12/1/2008,198.8
1/1/2009,196.2
2/1/2009,212
3/1/2009,212.3
4/1/2009,251.9
5/1/2009,259
6/1/2009,292.1
7/1/2009,293.7
8/1/2009,357.6
9/1/2009,333
10/1/2009,339.3
11/1/2009,351.3
12/1/2009,364.6
1/1/2010,367.9
2/1/2010,357.6
3/1/2010,408.3
4/1/2010,400.4
5/1/2010,363.4
6/1/2010,343.3
7/1/2010,369.9
8/1/2010,412.8
9/1/2010,434
10/1/2010,489.2
11/1/2010,470.1
12/1/2010,472.1
1/1/2011,488.2
2/1/2011,504.3
3/1/2011,496.2
4/1/2011,494.7
5/1/2011,470.5
6/1/2011,477.1
7/1/2011,512.9
8/1/2011,474.5
9/1/2011,436.1
10/1/2011,386.4
11/1/2011,407.3
12/1/2011,393.6
1/1/2012,416.8
2/1/2012,443.5
3/1/2012,442.3
4/1/2012,427.9
5/1/2012,407.7
6/1/2012,386.9
7/1/2012,400.1
8/1/2012,400.4
9/1/2012,430.3
10/1/2012,427.9
11/1/2012,398.5
12/1/2012,412
1/1/2013,413.3
2/1/2013,420.3
3/1/2013,408
4/1/2013,384.6
5/1/2013,381.2
6/1/2013,373.8
7/1/2013,363
8/1/2013,388
9/1/2013,387.3
10/1/2013,387.1
11/1/2013,381.3
12/1/2013,380.5
1/1/2014,385.5
2/1/2014,382.4
3/1/2014,374.3
4/1/2014,364.3
5/1/2014,373.6
6/1/2014,370.7
7/1/2014,385.7
8/1/2014,379.3
9/1/2014,375
10/1/2014,366
11/1/2014,361.9
12/1/2014,345.1
1/1/2015,324.1
2/1/2015,307.8
3/1/2015,326.7
4/1/2015,339.3
5/1/2015,343.6
6/1/2015,329.9
7/1/2015,302
8/1/2015,291.8
9/1/2015,294
10/1/2015,287.7
11/1/2015,270.3
12/1/2015,260.6
1/1/2016,246.1
2/1/2016,255.5
3/1/2016,271.8
4/1/2016,272
5/1/2016,271.1
6/1/2016,267.1
7/1/2016,281.9
8/1/2016,289.2
9/1/2016,282.6
10/1/2016,289.2
11/1/2016,311.4
12/1/2016,328.5
1/1/2017,334.4
2/1/2017,340.3
3/1/2017,341.1
4/1/2017,336.6
5/1/2017,325.4
6/1/2017,318.8
7/1/2017,347.5
8/1/2017,364.6
9/1/2017,381.4
10/1/2017,392.3
11/1/2017,388
12/1/2017,386.8
1/1/2018,395.3
2/1/2018,400.8
3/1/2018,395.7
4/1/2018,385.6
5/1/2018,388.5
6/1/2018,397.2
7/1/2018,366.9
8/1/2018,344.6
9/1/2018,340
10/1/2018,344.5
11/1/2018,343.5
12/1/2018,340.6
1/1/2019,339.4
2/1/2019,347.4
3/1/2019,357.1
4/1/2019,362.8
5/1/2019,340.5
6/1/2019,333.9
7/1/2019,342.7
8/1/2019,328.2
9/1/2019,340.7
10/1/2019,338.2
11/1/2019,339.2
12/1/2019,352
1/1/2020,347.2
2/1/2020,319
3/1/2020,302.9
4/1/2020,287.6
5/1/2020,303.3
6/1/2020,324.5
7/1/2020,358.8
8/1/2020,384.7
9/1/2020,386.7
10/1/2020,358.5
11/1/2020,400.3
12/1/2020,416.7
